Эл. двигатель ЭД117-02Э-;36;ЭД80-117М5;;;;;
1;шт.;;;;;;
выборка для;(несколько элементов);;;;;;
;;;;;;;
Сводная затрат материала;;;;еи;;;
вид материала;обозначение 2;обозначение 1;обозначение;кг;л;м;шт
Винт ;В М5-6gx10.58.029 ГОСТ 17473-80;-;Винт В М5-6gx10.58.029;;;;2
Втулка ;ВМФ-017;-;ЭД103-01-050-03;;;;16
Заклепка;3х7.32 ГОСТ 10299-80;-;Заклепка 3х7.32;;;;4
Квадрат;45-3ГП ГОСТ 1050-88;А6 ГОСТ 2591-71;ЭД117-01-52-001;0,232;;;
;;;ЭД117-02-012;0,03;;;
КВМ;ЭД117-01-52КВМ;-;ЭД117-01-52КВМ статор н/обм;;;;1
;ЭД117-02-50-ХХКВМ;-;ЭД117-02-50-ХХКВМ статор;;;;1
;ЭД117-02-67КВМ;-;ЭД117-02-67КВМ;;;;13
;ЭД117-02-ХХКВМ;-;ЭД117-02-ХХКВМ двиг-ль;;;;1
;ЭДС117-02-31КВМ;-;ЭДС117-02-31КВМ крышка;;;;1
Кольцо ;-;ЭД117-02-64-01-001;ЭД117-02-64-01-001;;;;28
;"ГОСТ 9833-73; ГОСТ 18829-80 из рез. смеси РС-26ч ТУ 2512-003-36523570-97";030-035-30-2-3;Кольцо 030-035-30-2-3;;;;1
;;059-065-36-2-3;Кольцо 059-065-36-2-3;;;;1
;;100-106-36-2-3;Кольцо 100-106-36-2-3;;;;4
Корпус подшипника;-;ЭД117-01-66-001-Л;ЭД117-01-66-001-Л;;;;13
Круг;20-3ГП ГОСТ 1050-88;8-В ГОСТ 2590-88;ЭД117-02-15-003;0,015;;;
;35-3ГП-ТО ГОСТ 1050-88;10-В ГОСТ 2590-88;ЭД117-01-20-001Б;0,03;;;
;;;ЭД117-02-25-003;0,052;;;
;40Х-Б-Т ГОСТ 4543-71;10-В ГОСТ 2590-88;ЭД117-01-001Б;0,24;;;
;;;ЭД117-07-001Б;0,246;;;
;;36-В ГОСТ 2590-88;ЭД117-01-10-002;0,42;;;
;;45-В ГОСТ 2590-88;ЭД117-01-10-001;1,15;;;
;;70-В ГОСТ 2590-88;ЭД117-02-25-001;0,62;;;
;;;ЭД117-02-25-002;0,78;;;
;Ст3сп3-II ГОСТ 535-88;110-В ГОСТ 2590-88;ЭД117-02-30-001;2,4;;;
;;45-В ГОСТ 2590-88;ЭД117-01-60-001;0,224;;;
;;;ЭД117-01-60-002;0,382;;;
;;50-В ГОСТ 2590-88;ЭД117-02-60-009;0,36;;;
;Ст5сп3-II ГОСТ 535-88;40-В ГОСТ 2590-88;ЭД117-01-003-01;0,2;;;
;20Х-Б ГОСТ 4543-71;70-В ГОСТ 2590-88;ЭД117-06-011;0,96;;;
;29,99-АЦ28ХГН3ФТ-1 ТУ 14-1-4398-88;-;ЭД117-02-60-006-ХХ вал;33,74;;;
;45-Б ГОСТ 1050-88;120-В ГОСТ 2590-88;ЭД117-02-20-001;26,6;;;
;45-3ГП-ТО ГОСТ 1050-88;120-В ГОСТ 2590-88;ЭД117-02-40-001;14,4;;;
;;16-В ГОСТ 2590-88;ЭД117-01-22-004Б;0,084;;;
Лак пропиточный;"2053 HFP ""Isola Werke AG""";-;Лак пропиточный 2053HFP;2,2;;;
Лакоткань;Ф-4Д-Э007-А СТО 05807999-011-2007;120±1х340±2;ЭД117-02-50-005;0,009;;;
;;140±1х340±2;ЭД117-02-50-004;0,011;;;
;;35±1мм;Лакоткань Ф-4Д-Э007-А;0,932;;;
Лента;0,5х110 П-Ш-С-1-ТО-ТШ1-А-2216 ГОСТ 21427.2-83;-;ЭД117-09-53-001;506,754;;;
;ЛЭС 0,1х20 обработанная ГОСТ 5937-81;-;Лента ЛЭС 0,1х20 обраб.;;;15,5;
;МФЛ 1,55 ТУ 37.002.0063-84;-;ЭД117-06-25-002;0,08;;;
Лист;IV-Ст3сп ГОСТ 16523-97;Б-ПН-2,0 ГОСТ 19903-74;ЭД117-09-52-008;0,424;;;
;;;ЭД117-01-002-01   шайба;0,0633;;;
;;Б-ПН-3,0 ГОСТ 19903-74;ЭД117-02-30-003;0,128;;;
