Эл. двигатель ЭД103-01-;18;ЭД32-103;;;;;
1;шт.;;;;;;
применение мат.;(несколько элементов);;;;;;
;;;;;;;
Сводная затрат материала;;;;еи;;;
вид материала;обозначение 2;обозначение 1;обозначение;кг;л;м;шт
Винт ;ГОСТ 17473-80;-;Винт В М5-6gx10.58.029;;;;2
Втулка ;ВМФ;-;"ЭД103-01-050 Втулка ВМФ-006; покупная";;;;3
;;;"ЭД103-01-050-01 Втулка ВМФ-023; покупная";;;;12
Заклепка;ГОСТ 10299-80;-;Заклепка 3х7.32;;;;4
Квадрат;45-3ГП ГОСТ 1050-88;А6 ГОСТ 2591-71;ЭД103-01-52-001 Кольцо пружинное;0,178;;;
Кольцо ;"ГОСТ 9833-73; ГОСТ 18829-80 из рез. смеси РС-26ч ТУ 2512-003-36523570-97";-;Кольцо 030-035-30-2-3;;;;1
;;;Кольцо 059-065-36-2-3;;;;1
;;;Кольцо 080-086-36-2-3;;;;4
Корпус подшипника;-;-;"ЭД103-01-66-001-Л Корпус подшипника; покупн. загот. для ЭД103-01-66-001";;;;12
Круг;20-3ГП ГОСТ 1050-88;8-В ГОСТ 2590-88;ЭД117-02-15-003 Фиксатор;0,015;;;
;40Х-Б-Т ГОСТ 4543-71;10-В ГОСТ 2590-88;"ЭД117-01-001Б Шпилька; загот. для ЭД117-01-001; зам. на ЭД117-07-001Б";0,24;;;
;;;"ЭД117-07-001Б Шпилька; загот. для ЭД117-07-001; взамен ЭД117-01-001Б";0,246;;;
;;36-В ГОСТ 2590-88;ЭД103-01-10-001 Муфта;0,75;;;
;Ст3сп3-II ГОСТ 535-88;110-В ГОСТ 2590-88;ЭД117-02-30-001 Фланец;2,4;;;
;;36-В ГОСТ 2590-88;ЭД117-01-60-003 Втулка;0,33;;;
;;70-В ГОСТ 2590-88;ЭД103-06-25-001 Основание подпятника;0,82;;;
;Ст5сп3-II ГОСТ 535-88;32-В ГОСТ 2590-88;ЭД117-01-003 Вкладыш ;0,21;;;
;20Х-Б ГОСТ 4543-71;70-В ГОСТ 2590-88;ЭД103-01-011 Пята;0,96;;;
;45-Б ГОСТ 1050-88;110-В ГОСТ 2590-88;ЭД103-01-41-001 Корпус;14;;;
;;120-В ГОСТ 2590-88;ЭД103-06-21-001 Головка;29,6;;;
;45-3ГП-ТО ГОСТ 1050-88;36-В ГОСТ 2590-88;ЭД103-01-60-001 Кольцо;0,15;;;
;;;ЭД103-01-60-002 Кольцо;0,25;;;
;;16-В ГОСТ 2590-88;"ЭД117-01-22-004Б Пробка; загот. для ЭД117-01-22-004";0,084;;;
;35-3ГП-М1-ТО ГОСТ 1050-88;10-В ГОСТ 2590-88;"ЭД117-01-20-001Б Винт; загот. для ЭД117-01-20-001";0,03;;;
;24,99-7,1-АЦ28ХГН3ФТ-1 ТУ 14-1-4398-88;-;ЭД103-01-60-006 Вал ;18,6;;;
Лакоткань;Ф-4Д-Э007-А СТО 05807999-011-2007;130±1х300±2;ЭД103-01-50-003 Прокладка;0,009;;;
;;110±1х300±2;ЭД103-01-50-004 Прокладка;0,007;;;
;;40±1;ЭД103-01-50-013 Гильза;0,4644;;;
;;;ЭД103-01-50-014 Гильза;0,468;;;
;;;ЭД103-01-50-015 Гильза;0,4716;;;
Лента;МФЛ 1,55 ТУ 37.002.0063-84;-;ЭД103-06-25-002 Кольцо подпятника;0,08;;;
;ЛЭС 0,1х20 обработанная ГОСТ 5937-81;-;Лента ЛЭС 0,1х20 обраб.;;;10,5;
;0,5х180 П-Ш-С-1-ТО-ТШ1-А-2216 ГОСТ 21427.2-83;-;ЭД103-01-53-001 Лист статора;296,7256;;;
Лист;IV-Ст3сп ГОСТ 16523-97;Б-ПН-2,0 ГОСТ 19903-74;ЭД103-01-53-002 Лист статора;0,314;;;
;;;ЭД117-01-002 Шайба;0,0633;;;
;;Б-ПН-3,0 ГОСТ 19903-74;ЭД117-02-30-003 Днище;0,128;;;
;ДПРНМ 1,0 Л63 ГОСТ 931-90;-;ЭД103-01-085 Табличка;0,041;;;
;ДПРНХ 2 С1 ГОСТ 9559-89;-;ЭД117-01-22-005 Шайба;0,0213;;;
;;;ЭД117-01-22-005-01 Шайба;0,036;;;
;IV-Ст2 ГОСТ 16523-97;Б-ПН-1,5 ГОСТ 19903-74;ЭД103-01-10-002 Пластина;0,42;;;
Магнит;ГОСТ 17809-72;-;ДЖБ.09.1.0836 Магнит;;;;2
Масло эл.изол.;МДПН (З) ТУ 0253-018-00151911-99;-;Масло МДПН (З);2,9;3,3;;
Пластина;2Н-I-ТМКЩ-С-4 ГОСТ 7338-90;-;ЭД117-02-30-004 Прокладка;0,021;;;
Пленка ;ПМФ-С-352 60/40мкм ТУ 6-19-226-89;240±0,5;ЭД117-01-51-001-06 Трубка изолирующая;0,0009;;;
;;40±0,5;"ЭД103-01-50-008 Гильза; взам. ЭД103-01-50-007";0,1062;;;
;;;"ЭД103-01-50-010 Гильза; взам. ЭД103-01-50-009";0,108;;;
;;;"ЭД103-01-50-012 Гильза; взам. ЭД103-01-50-011";0,1086;;;
;Ф-4 ЭО первый сорт 0,04х20 ГОСТ 24222-80;-;Пленка Ф-4 ЭО 0,04х20;0,061;;;
;KAPTON 200FN919 50/25мкм;40±0,5;"ЭД103-01-50-007 Гильза; зам. на ЭД103-01-50-008";0,0996;;;
;;;"ЭД103-01-50-009 Гильза; зам. на ЭД103-01-50-010";0,1008;;;
;;;"ЭД103-01-50-011 Гильза; зам. на ЭД103-01-50-012";0,1014;;;
Полиэтиленполеамин;ТУ 6-02-594-80;-;"Полиэтиленполеамин ПЭПА; вход. в СБ, кот. зам на ЭД103-01-50-005";0,000002;;;
Полоса;Ст20сп ГОСТ 535-88;25х100 В-2 ГОСТ 103-76;ЭД117-02-022 Крышка;0,82;;;
Порошок медный;ПМС-1 ГОСТ 4960-75;-;ЭД103-01-05-012 Кольцо;2,4921;;;
Пресс-материал;ДСВ-2-0, неокраш. ГОСТ 17478-95;-;"ЭД103-01-50-005 Кольцо изолирующее; взамен ЭД103-01-54СБ";0,142;;;
Провод;2FO 100 ISOLA ;84х0,3;ЭД117Т-01-53-002-01 Провод;0,0153;;0,273;
;;;ЭД117Т-01-53-002-02 Провод;0,0159;;0,284;
;;;ЭД117Т-01-53-002-03 Провод;0,0165;;0,294;
;;2,12;Провод 2FO 100 с полиимидн. пленкой 150FN019 ISOLA;22,75;;681;
Проволока;3х3 65Г ГОСТ 11850-72;-;ЭД103-01-52-002 Шпонка;0,336;;;
;;;ЭД117-01-010-02 Шпонка;0,338;;;
;;;ЭД117-01-010-06 Шпонка;0,0013;;;
;;;ЭД117-01-010-07 Шпонка;0,024;;;
;Б-1-0,4 ГОСТ 9389-75;-;"ЭД117-01-22-003Б Пружина; загот. для ЭД117-01-22-003";0,00024;;;
;Б-1-0,8 ГОСТ 9389-75;-;ЭД117-01-30-001 Кольцо;0,00063;;;
;Б-1-1,2 ГОСТ 9389-75;-;ЭД103-06-25-003 Кольцо пружинное;0,002;;;
;;;ЭД117-01-60-004 Кольцо пружинное;0,00067;;;
;;;ЭД117-06-25-003 Кольцо пружинное;0,002;;;
;ПМПП 5,1х3,9х7,7 ТУ 16-705.271-83;-;ЭД103-01-64-01-001 Стержень;18,512;;;
Пруток;ДКРНТ 7,0 НД М1 ГОСТ 1535-91;-;"ЭД117-07-50-005Б-02 Гильза; загот. для ЭД117-07-50-005-02 ";0,0147;;;
;ДКРНТ 8,0 НД М1 ГОСТ 1535-91;-;"ЭД117-07-50-005Б-03; загот. для ЭД117-07-50-005-03";0,0065;;;
;ДКРПП 10х2000 ЛС 59-1 АВ ГОСТ 2060-90;-;ЭД117-01-30-003 Гильза;0,0759;;;
;ДКРПП-11,0 НД ЛС 59-1 АВ ГОСТ 2060-90;-;ЭД117-01-22-002 Дно;0,016;;;
;ДКРНТ 4,5 НД М1 ГОСТ 1535-91;-;"ЭД117-07-50-005Б Гильза; загот. для ЭД117-07-50-005 ";0,006;;;
;ДКРПТ 10х2000 М1 АВ ГОСТ 1535-91;-;ЭД117Т-01-53-001 Наконечник;0,0525;;;
Смола;ГОСТ 10587-84;-;"Смола ЭД-16; зам. на ЭД-20; вход. в СБ, кот. зам на ЭД103-01-50-005";0,0002;;;
;;;"Смола ЭД-20; взамен ЭД-16; вход. в СБ, кот. зам на ЭД103-01-50-005";0,0002;;;
Стеклотекстолит;СТЭФ-I-0,5 ГОСТ 12652-74;100±1х295±2;ЭД103-01-50-001 Прокладка;0,031;;;
;;80±1х295±2;ЭД103-01-50-002 Прокладка;0,026;;;
;СТЭФ-I-2,0 ГОСТ 12652-74;-;"ЭД103-01-54-001 Кольцо; вход. в СБ, кот. зам на ЭД103-01-50-005";1,91;;;
;;;ЭД103-01-60-007 Шайба упорная;0,1752;;;
Труба;Г20 ГОСТ 8733-87;60х4 ГОСТ 8734-75;ЭД117-02-30-002 Труба;0,43;;;
;;34х5 ГОСТ 8734-75;ЭД103-01-21-02-001 Втулка;0,33;;;
;;45х10 ГОСТ 8734-75;ЭД103-01-41-002 Труба;1,04;;;
;;40х8 ГОСТ 8734-75;ЭД103-01-21-002 Труба;0,902;;;
;Б20Х ГОСТ 8733-87;32х5 ГОСТ 8734-75;ЭД103-01-60-005 Втулка;1,476;;;
;Двн 92х5,5-35 ТУ 14-3-1941-94;-;ЭД103-01-52-003 Корпус;63,1;;;
Трубка;ТТК 11,4/6,8 первый сорт ТУ 6-05-1955-83;-;Трубка ТТК 11,4/6,8;0,041;;1,04;
;Ф-4ДЭ ГОСТ 22056-76;3,0х0,4;Трубка Ф-4 ДЭ 3,0х0,4;;;1,01;
;;4,0х0,6 ;ЭД117Т-01-53-005 Трубка;;;0,25;
;;;ЭД117Т-01-53-006 Трубка;;;0,26;
;;;ЭД117Т-01-53-007 Трубка;;;0,271;
Фенопласт;03-010-02 черный ГОСТ 5689-79;-;ЭД117-01-004 Пробка;0,052;;;
Целанекс;2302 GV 1/30;-;"ЭД117-01-006 Колодка; загот. для ЭД117-02-15-001";0,05;;;
Цилиндр;И78.0095.104ТУ;-;Цилиндр ЦИПЭ 50,5х53х60;;;;1
;;;Цилиндр ЦИПЭ 50,5х53х75;;;;1
Шайба ;ГОСТ 6402-70;-;Шайба 10.65Г.029;;;;8
;;;Шайба 5.65Г.029;;;;2
Шарик ;ГОСТ 3722-81;-;Шарик 5.556-100;;;;2
Шестигранник;40Х-Б-Н ГОСТ 1051-73;14-h11 ГОСТ 8560-78;"ЭД117-01-009Б Винт; загот. для ЭД117-01-009";0,16;;;
;;;"ЭД117-01-017Б Гайка; загот. для ЭД117-01-017";0,156;;;
;45-Б-Н ГОСТ 1051-73;19-h11 ГОСТ 8560-78;"ЭД117-01-22-001Б Корпус; загот. для ЭД117-01-22-001";0,224;;;
